                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3098,                 3.1985,                0.99236,                0.49765,                0.35764,                 0.3191,                0.21084,                 1.1515,                 1.8012,                0.94657,              0.0033306,              0.0033306,              0.0033306
                      1,                 1.2212,                 2.0226,                 0.9696,                0.45831,                0.46477,                 0.4186,                0.29082,                 1.1119,                 1.4891,                0.94414,               0.006532,               0.006532,               0.006532
                      2,                 1.2357,                 1.7163,                0.98041,                0.50768,                0.44354,                0.41618,                0.27727,                 1.1519,                 1.5783,                0.96779,              0.0096014,              0.0096014,              0.0096014
                      3,                 1.2348,                 1.5646,                0.98532,                0.54809,                0.49843,                0.49134,                0.34029,                 1.0991,                 1.3403,                0.94825,               0.009406,               0.009406,               0.009406
                      4,                 1.1829,                 1.4286,                  0.968,                0.57333,                0.52963,                0.53276,                0.37675,                 1.0656,                 1.2521,                0.94086,               0.009406,               0.009406,               0.009406
                      5,                 1.1491,                 1.3471,                0.95718,                0.60088,                0.56051,                0.56968,                0.40866,                 1.0177,                 1.1488,                 0.9264,               0.009208,               0.009208,               0.009208
                      6,                 1.1284,                 1.2905,                0.94967,                0.59052,                0.58934,                0.59328,                0.43051,                0.99719,                 1.0843,                0.91924,                0.00901,                0.00901,                0.00901
                      7,                 1.1125,                 1.2574,                0.94592,                0.66967,                0.57546,                0.61918,                0.45133,                0.98421,                 1.0364,                0.91461,               0.008812,               0.008812,               0.008812
                      8,                 1.0952,                 1.2173,                0.94027,                0.67673,                0.59256,                0.63245,                0.46516,                0.97002,                 1.0012,                0.90917,               0.008614,               0.008614,               0.008614
                      9,                 1.0841,                 1.1896,                0.93537,                0.65899,                0.62435,                0.64832,                0.47837,                0.95901,                0.97074,                0.90614,               0.008416,               0.008416,               0.008416
                     10,                 1.0767,                 1.1679,                0.93427,                0.64232,                0.63248,                0.65692,                0.48528,                0.94851,                0.95015,                0.90209,               0.008218,               0.008218,               0.008218
                     11,                 1.0688,                 1.1537,                0.92913,                0.64502,                0.64646,                0.66732,                0.49397,                 0.9423,                0.93171,                0.89997,                0.00802,                0.00802,                0.00802
                     12,                 1.0596,                  1.135,                0.92783,                0.63429,                 0.6489,                 0.6722,                0.50135,                0.93299,                0.91643,                0.89841,               0.007822,               0.007822,               0.007822
                     13,                 1.0542,                 1.1186,                0.92515,                0.65279,                0.65067,                0.68226,                0.51117,                0.92574,                0.89952,                0.89518,               0.007624,               0.007624,               0.007624
                     14,                 1.0475,                 1.1066,                0.92408,                0.65498,                0.65673,                0.68577,                 0.5138,                0.92121,                0.88664,                0.89329,               0.007426,               0.007426,               0.007426
                     15,                 1.0432,                 1.0911,                0.92193,                0.64715,                0.67735,                0.69335,                0.52035,                0.91582,                0.87433,                0.89203,               0.007228,               0.007228,               0.007228
                     16,                 1.0343,                 1.0787,                0.91925,                0.68399,                0.64575,                 0.6956,                0.52348,                0.91274,                0.86759,                0.89044,                0.00703,                0.00703,                0.00703
                     17,                 1.0315,                 1.0674,                0.91821,                0.68991,                 0.6549,                0.70041,                0.52687,                0.90931,                0.85818,                0.88964,               0.006832,               0.006832,               0.006832
                     18,                  1.028,                 1.0593,                0.91735,                0.65041,                0.67458,                0.70394,                0.53018,                0.90608,                0.84944,                0.88843,               0.006634,               0.006634,               0.006634
                     19,                 1.0214,                 1.0443,                 0.9155,                 0.6654,                0.68284,                0.70632,                0.53276,                0.90347,                0.84198,                0.88763,               0.006436,               0.006436,               0.006436
                     20,                 1.0185,                 1.0325,                 0.9145,                0.68231,                0.67246,                0.70999,                0.53633,                0.90152,                0.83656,                0.88709,               0.006238,               0.006238,               0.006238
                     21,                 1.0124,                 1.0228,                0.91209,                0.68337,                0.67493,                0.71273,                0.53859,                 0.8994,                0.83269,                0.88619,                0.00604,                0.00604,                0.00604
                     22,                 1.0112,                 1.0177,                0.91178,                0.69303,                0.67321,                0.71495,                 0.5404,                0.89778,                0.82902,                 0.8856,               0.005842,               0.005842,               0.005842
                     23,                 1.0055,                 1.0073,                0.90982,                0.70062,                0.67385,                0.71597,                0.54086,                0.89619,                0.82606,                0.88504,               0.005644,               0.005644,               0.005644
                     24,                 1.0013,                0.99878,                0.90861,                0.69551,                0.67551,                0.71765,                0.54286,                0.89511,                0.82258,                0.88476,               0.005446,               0.005446,               0.005446
                     25,                0.99684,                0.99395,                0.90848,                 0.6866,                0.68324,                0.71898,                0.54463,                 0.8943,                0.81946,                0.88449,               0.005248,               0.005248,               0.005248
                     26,                0.99412,                0.98076,                0.90762,                0.68693,                0.68729,                0.71982,                0.54568,                0.89294,                 0.8171,                0.88421,                0.00505,                0.00505,                0.00505
                     27,                0.98862,                0.97476,                0.90695,                0.69554,                0.68422,                0.72116,                0.54725,                0.89184,                0.81487,                0.88388,               0.004852,               0.004852,               0.004852
                     28,                0.98921,                 0.9674,                0.90581,                 0.6965,                 0.6848,                0.72222,                0.54813,                0.89106,                0.81271,                0.88359,               0.004654,               0.004654,               0.004654
                     29,                0.98585,                 0.9564,                0.90373,                0.69834,                0.68363,                0.72273,                0.54926,                0.89005,                0.81093,                0.88331,               0.004456,               0.004456,               0.004456
